"num","team","epa_rank","total_epa","norm_epa","unitless_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","next_event_key","next_event_name","next_event_week","record","winrate"
"2056","OP Robotics","1","120.1","2012","2127","31.6","76.1","12.4","0.52","0.84","0.62","N/A","N/A","N/A","68-7-0","0.907"
"2910","Jack in the Bot","2","114.1","1974","2086","28.4","72.8","13","0.54","0.87","0.73","N/A","N/A","N/A","66-7-0","0.904"
"1323","MadTown Robotics","3","112","1961","2072","27.6","72","12.4","0.57","0.85","0.77","N/A","N/A","N/A","53-3-0","0.946"
"1690","Orbit","4","107.7","1934","2043","32.6","63.5","11.7","0.51","0.99","0.48","N/A","N/A","N/A","62-9-0","0.873"
"1678","Citrus Circuits","5","105.8","1922","2030","27","66.6","12.2","0.69","0.78","0.66","N/A","N/A","N/A","57-8-0","0.877"
"118","Robonauts","6","104.8","1916","2023","20","72.7","12","0.85","1.03","0.8","N/A","N/A","N/A","110-12-0","0.902"
